MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
14.0,3.0,5.831327892742091,19.212182313188084,1.0,0.0,3.0,3.0,1.0,0.0,2.0,16.0,4.0,4.0,4.0,6.0,2.440268378362637,2.055641538058108,14.187526814497952,14.187526814497952,1.0,2.0,11.0,11.0,2.0,8.059125775508376,3.0,2.0,5.0,4.0,3.0,1.0,6.0,11.170326790619496,1.0,0.0,7.483295642295591,11.69262258528247,5.0,4.0,1.0,3.0,11.69262258528247,11.686189379390555,0.0,13.698887979000148,0.7304631471189666,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,0.7304631471189666,3.0,2.6025944687727294,7.0,0.0,0.0,5.0,14.187526814497952,2.0,1.1943176378757767,10.506270963009685,3.0,3.0,2.0,0.0,5.7146689026506605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0
11.0,3.0,6.221213632878419,19.71220477890197,1.0,0.0,3.0,3.0,1.0,1.0,2.0,20.0,2.0,4.0,4.0,5.0,2.2596737867230705,2.6025944687727294,14.145138012244155,14.145138012244155,1.0,2.0,4.0,5.0,1.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,12.062831653433358,1.0,0.0,8.897843946804546,12.792276226358874,5.0,4.0,1.0,3.0,12.792276226358874,0.0,0.0,12.792276226358874,0.0,0.7304631471189666,1.1943176378757767,0.0,1.5409627556327752,0.7304631471189666,2.0,2.2596737867230705,7.0,0.7304631471189666,3.0,5.0,14.145138012244155,2.0,1.1943176378757767,10.06209830903299,3.0,3.0,2.0,9.010205578972315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0
14.0,3.0,5.914940018959451,20.347240908682487,1.0,0.0,2.0,3.0,1.0,0.0,2.0,16.0,4.0,4.0,4.0,6.0,2.440268378362637,2.055641538058108,14.184403604277843,14.185965540731983,1.0,2.0,11.0,11.0,2.0,7.6465380079030645,3.0,2.0,5.0,4.0,3.0,2.0,6.0,10.200342662007953,1.0,0.0,9.917059938656934,11.89203905911452,5.0,4.0,1.0,3.0,11.89203905911452,11.724598476197201,0.0,13.83208545463177,0.7304631471189666,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,0.7304631471189666,3.0,2.2596737867230705,7.0,0.7304631471189666,3.0,5.0,14.184403604277843,2.0,1.1943176378757767,10.775536258885502,3.0,3.0,2.0,0.0,5.0533710494211155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,4.0
9.0,3.0,5.684506656824126,19.691552676807884,1.0,0.0,2.0,3.0,1.0,2.0,2.0,17.0,4.0,4.0,4.0,6.0,2.440268378362637,2.055641538058108,14.047528636178493,14.135651502935826,1.0,2.0,5.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,8.274265741119429,1.0,0.0,10.468499910096941,11.354094166792635,5.0,3.0,1.0,3.0,12.013683020322897,11.354094166792635,0.0,13.711364159471431,0.7304631471189666,0.0,0.7304631471189666,0.0,1.5409627556327752,0.7304631471189666,3.0,2.440268378362637,7.0,0.7304631471189666,4.0,2.0,14.179713812657004,1.0,1.5409627556327752,10.918252927785405,3.0,3.0,2.0,0.0,4.745132396064701,8.797735592116597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0
14.0,3.0,6.314734756825906,21.32515985291932,1.0,0.0,2.0,3.0,1.0,1.0,2.0,24.0,4.0,4.0,4.0,6.0,2.6025944687727294,2.055641538058108,14.182841004523032,14.182841004523032,1.0,2.0,11.0,11.0,2.0,9.391827134755262,3.0,2.0,5.0,4.0,3.0,3.0,6.0,10.971129399749735,1.0,0.0,10.221051196470764,12.510587913259403,5.0,4.0,1.0,3.0,12.510587913259403,12.271364745626231,0.0,14.480029495615659,0.7304631471189666,0.0,1.1943176378757767,0.7304631471189666,1.8203341036428238,0.7304631471189666,3.0,2.750250297485029,7.0,0.7304631471189666,3.0,5.0,14.182841004523032,2.0,1.5409627556327752,11.627707599932261,3.0,3.0,2.0,8.013883697367245,6.314734756825906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,4.0
6.0,3.0,6.337529394588084,21.282282796539835,1.0,0.0,2.0,3.0,1.0,0.0,2.0,11.0,4.0,4.0,4.0,2.0,2.055641538058108,2.055641538058108,14.171884182186483,14.175018034740056,1.0,2.0,11.0,11.0,1.0,0.0,2.0,2.0,4.0,4.0,3.0,1.0,6.0,11.267216541031873,1.0,0.0,5.80273872401839,11.493820273589396,5.0,4.0,1.0,3.0,11.493820273589396,10.589574424774424,0.0,13.015962914755876,0.7304631471189666,0.0,0.7304631471189666,0.7304631471189666,0.7304631471189666,0.7304631471189666,2.0,2.055641538058108,7.0,0.0,0.0,5.0,14.171884182186483,1.0,1.1943176378757767,10.169007130464756,3.0,3.0,2.0,4.969939052451073,4.492017742920502,0.0,9.178050664421775,0.0,0.0,0.0,3.0,2.0,11.147538247731708,4.0,2.0,4.0,4.0
11.0,3.0,6.098626104970388,19.907528872852918,1.0,0.0,3.0,3.0,1.0,0.0,2.0,19.0,4.0,4.0,4.0,5.0,2.6025944687727294,2.055641538058108,14.189087426187385,14.19064737641105,1.0,2.0,11.0,11.0,3.0,7.944502934774821,3.0,2.0,5.0,5.0,3.0,3.0,6.0,13.031092624489567,1.0,0.0,9.15574970587587,13.655780507688625,5.0,4.0,1.0,3.0,13.670207259396387,0.0,0.0,13.670207259396387,0.7304631471189666,0.0,1.1943176378757767,0.0,1.5409627556327752,0.7304631471189666,3.0,2.440268378362637,7.0,0.7304631471189666,4.0,5.0,14.189087426187385,2.0,1.1943176378757767,10.89354133302396,3.0,3.0,2.0,8.64931139996047,5.59142712460611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,4.0
14.0,3.0,5.892827615387248,20.023861568757013,1.0,0.0,2.0,3.0,1.0,2.0,2.0,13.0,7.0,4.0,4.0,6.0,2.440268378362637,2.2596737867230705,14.140397821243571,14.140397821243571,1.0,2.0,8.0,8.0,3.0,8.511219710154148,2.0,2.0,2.0,4.0,3.0,2.0,5.0,11.702248507491014,4.0,4.597156711708115,8.274265741119429,12.413831308023239,5.0,4.0,1.0,3.0,12.413831308023239,12.077149047696548,0.0,14.320888266014626,0.7304631471189666,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,0.7304631471189666,2.0,2.440268378362637,7.0,1.1943176378757767,3.0,5.0,14.140397821243571,2.0,1.1943176378757767,10.189934126006927,3.0,3.0,2.0,8.463563732298573,8.147315588624346,8.39538258223558,0.0,0.0,0.0,0.0,0.0,2.0,9.391827134755262,10.0,2.0,4.0,4.0
6.0,1.0,5.392276337227255,17.98987134386776,1.0,0.0,3.0,3.0,1.0,0.0,2.0,5.0,0.0,4.0,4.0,2.0,2.440268378362637,2.055641538058108,14.073383820784445,14.103851511653946,1.0,2.0,10.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,11.987363555250518,11.987363555250518,5.0,3.0,1.0,1.0,12.186750882025454,11.339778687893531,0.0,13.811378405864021,0.0,0.0,1.1943176378757767,0.0,1.1943176378757767,1.1943176378757767,2.0,2.6025944687727294,6.0,1.1943176378757767,3.0,2.0,14.073383820784445,1.0,1.1943176378757767,10.105326135535595,2.0,3.0,2.0,6.448232316019433,0.0,8.158132683068054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
3.0,3.0,5.357203202420049,18.712543705168287,1.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.055641538058108,2.2596737867230705,14.086243227218915,14.103851511653946,1.0,2.0,4.0,5.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,6.0,11.676515545860786,1.0,0.0,7.338607270038526,12.099928771272056,5.0,4.0,1.0,3.0,12.335431399519656,0.0,0.0,12.335431399519656,0.7304631471189666,0.0,0.7304631471189666,0.0,1.1943176378757767,1.1943176378757767,2.0,2.055641538058108,7.0,1.1943176378757767,3.0,5.0,14.086243227218915,2.0,0.7304631471189666,8.158132683068054,4.0,3.0,2.0,0.0,1.8203341036428238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0
11.0,3.0,5.968980585391403,20.329199132676486,1.0,0.0,3.0,3.0,1.0,0.0,2.0,6.0,4.0,4.0,4.0,5.0,2.055641538058108,2.055641538058108,14.127727309259253,14.127727309259253,4.0,2.0,8.0,8.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,11.849446822580239,1.0,0.0,7.247551425168361,12.236142518909933,5.0,4.0,1.0,3.0,12.236142518909933,0.0,0.0,12.236142518909933,0.7304631471189666,0.0,0.7304631471189666,0.0,1.5409627556327752,0.7304631471189666,2.0,2.055641538058108,7.0,0.0,0.0,2.0,14.127727309259253,1.0,0.7304631471189666,9.616086912297321,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0
